agreement_from,end_date,title,entity_code,person_indication,agreement,person,amount,other_party_of_agreement,start_date,description
Rašytinė,,"UAB ""PUIKIS LT""",302302185,Deklaruojantysis,Paskola (suteikta),ŠARŪNAS GUSTAINIS,70000,"Juridiniai asmenys, registruoti Lietuvoje",2012-01-13,PINIGINĖS LĖŠOS
Rašytinė,2012-07-19,"UAB ""METAL SOLUTIONS""",302475803,Deklaruojantysis,Pirkimas,ARŪNAS ŠTARAS,12992,"Juridiniai asmenys, registruoti Lietuvoje",2012-07-19,STATYBINIŲ MEDŽIAGŲ PIRKIMO SUTARTIS
Rašytinė,2011-11-07,UAB SPRUSAS,223904870,Deklaruojantysis,Pardavimas,KĘSTUTIS TUBIS,19934,"Juridiniai asmenys, registruoti Lietuvoje",2011-11-07,PAJAMOS UŽ PARDUOTĄ MEDIENĄ
Rašytinė,2012-01-05,UAB RENOSTERA,148416917,Deklaruojantysis,Pardavimas,KĘSTUTIS TUBIS,21185,"Juridiniai asmenys, registruoti Lietuvoje",2011-08-02,PAJAMOS UŽ PARDUOTĄ MEDIENĄ
Žodinė,2012-08-28,NERIJUS PAPLAUSKIS,,Deklaruojantysis,Pirkimas,ARŪNAS ŠTARAS,10140,"Fiziniai asmenys, registruoti Lietuvoje",2012-08-28,PIRKTOS STOGO DENGIMO PASLAUGOS
Rašytinė,,AUGUSTAS ŠTARAS,,Deklaruojantysis,Išsimokėtinas pirkimas,ARŪNAS ŠTARAS,206940,"Fiziniai asmenys, registruoti Lietuvoje",2012-01-11,"SŪNUI PERLEISTI ĮSIPAREIGOJIMAI PAGAL KREDITO SUTARTĮ SU AB ""SWEDBA"
Rašytinė,2012-03-30,UAB LITRAMUS,302555224,Deklaruojantysis,Pardavimas,KĘSTUTIS TUBIS,15113,"Juridiniai asmenys, registruoti Lietuvoje",2012-03-30,PAJAMOS UŽ PARDUOTĄ MEDIENĄ
Žodinė,,GABRIELĖ ŠTARAITĖ,,Deklaruojantysis,Išsimokėtinas pirkimas,ARŪNAS ŠTARAS,50000,"Fiziniai asmenys, registruoti Lietuvoje",2012-08-13,IŠ DUKROS GAUTI PINIGAI PANAUDAI GYVENAMOJO NAMO STATYBAI
Rašytinė,,"UAB ""KNE""",302547697,Sutuoktinis,Pirkimas,ARŪNAS ŠTARAS,240257,"Juridiniai asmenys, registruoti Lietuvoje",2012-06-28,STATYBOS PRIEŽIŪROS IR TIEKIMO SUTARTIS
Rašytinė,2012-05-26,ŽILVINAS SKEČIONIS,,Deklaruojantysis,Pirkimas,ARTŪRAS ŠULCAS,20000,"Fiziniai asmenys, registruoti Lietuvoje",2012-05-26,AUTOMOBILIS CITROEN C4 PICASSO
Rašytinė,2011-08-23,"UAB ""PER CONTRA""",300670808,Deklaruojantysis,Paslauga,ARTŪRAS ŠULCAS,13657,"Juridiniai asmenys, registruoti Lietuvoje",2011-07-07,STATYBOS IR REMONTO DARBAI
Rašytinė,2012-07-02,"UAB ""BETONO FORMA""",302546150,Sutuoktinis,Pirkimas,ARŪNAS ŠTARAS,15000,"Juridiniai asmenys, registruoti Lietuvoje",2012-06-12,STATYBOS RANGOS SUTARTIS
Rašytinė,,"UAB ""PAJŪRIO ŠALTINIS""",152663916,Sutuoktinis,Pirkimas,ARŪNAS ŠTARAS,10200,"Juridiniai asmenys, registruoti Lietuvoje",2012-06-18,STATYBOS RANGOS SUTARTIS
Rašytinė,,AB DNB NORD BANKAS,,Deklaruojantysis,Paskola (gauta),ERIKAS TAMAŠAUSKAS,100000,"Juridiniai asmenys, registruoti Lietuvoje",2009-10-05,KREDITO PASKIRTIS GYVENAMAJAM NAMUI STATYTI
Rašytinė,,SWEDBANK AB,112029651,Deklaruojantysis,Paskola (gauta),ARTŪRAS ŠULCAS,64885,"Juridiniai asmenys, registruoti Lietuvoje",2004-04-19,BŪSTO PASKOLA
Rašytinė,,SWEDBANK AB,112029651,Deklaruojantysis,Paskola (gauta),ARTŪRAS ŠULCAS,20000,"Juridiniai asmenys, registruoti Lietuvoje",2011-08-23,KREDITO LINIJA
Notarinė,2012-02-09,AUGUSTAS ŠTARAS,,Deklaruojantysis ir sutuoktinis,Pardavimas,ARŪNAS ŠTARAS,325000,"Fiziniai asmenys, registruoti Lietuvoje",2012-01-25,"SŪNUI DOVANOTAS BUTAS SANTARIŠKIŲ G. 39H-22, VILNIUJE"
Rašytinė,,IRINA BACHMATOVA,,Deklaruojantysis,Paskola (suteikta),ARMINAS LYDEKA,70000,"Fiziniai asmenys, registruoti Lietuvoje",2005-08-01,PINIGAI
Rašytinė,2012-02-23,SVEDBANK LIFE INSURANSE SE,302458056,Deklaruojantysis,Autorinė sutartis,VITALIJUS GAILIUS,25000,"Juridiniai asmenys, registruoti Lietuvoje",2012-02-17,DRAUDIMO SUTARTIES NUTRAUKIMAS
Rašytinė,,SWEDBANKAS,,Deklaruojantysis,Paskola (gauta),DALIA TEIŠERSKYTĖ,10000,"Juridiniai asmenys, registruoti Lietuvoje",2004-07-05,KREDITINĖ KORTELĖ
Rašytinė,,MARINA ZBARSKAJA,,Sutuoktinis,Nuoma,KĘSTUTIS GLAVECKAS,107100,"Fiziniai asmenys, registruoti Lietuvoje",2011-05-11,BUTO NUOMA
Rašytinė,2025-12-08,DNB BANKAS,,Deklaruojantysis,Paskola (gauta),ALGIS KAŠĖTA,196809,"Juridiniai asmenys, registruoti Lietuvoje",2000-12-08,PASKOLA BŪSTUI ĮSIGYTI
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Paskola (gauta),DALIA KUODYTĖ,121672,"Juridiniai asmenys, registruoti Lietuvoje",2009-09-09,PASKOLA
Rašytinė,,"UAB ""RIBULĖ""",145885044,Sutuoktinis,Nuoma,KĘSTUTIS GLAVECKAS,420000,"Juridiniai asmenys, registruoti Lietuvoje",2005-07-25,PATALPŲ NUOMA
Rašytinė,,ALGIO DAMBRAUSKO PERSONALINĖ ĮMONĖ,183740047,Sutuoktinis,Nuoma,KĘSTUTIS GLAVECKAS,160480,"Juridiniai asmenys, registruoti Lietuvoje",2010-08-13,PATALPŲ NUOMA
Rašytinė,,AB BANKAS SNORAS,112025973,Deklaruojantysis,Paskola (gauta),DALIA KUODYTĖ,36000,"Juridiniai asmenys, registruoti Lietuvoje",2008-10-31,PASKOLA
Rašytinė,,"UAB ""ŽALIOJI KNYGA""",124662230,Sutuoktinis,Nuoma,KĘSTUTIS GLAVECKAS,420000,"Juridiniai asmenys, registruoti Lietuvoje",2008-01-15,PATALPŲ NUOMA
Rašytinė,,"UAB ""GINTARINĖ GRUPĖ""",125877727,Sutuoktinis,Nuoma,KĘSTUTIS GLAVECKAS,2340000,"Juridiniai asmenys, registruoti Lietuvoje",2007-10-19,PATALPŲ NUOMA
Rašytinė,,"UAB ""NORDEA FINANCE LITHUANIA""",111667277,Sutuoktinis,Išsimokėtinas pirkimas,RIMANTAS MIKAITIS,79255,"Juridiniai asmenys, registruoti Lietuvoje",2012-05-28,AUTOMOBILIS
Rašytinė,,"UAB ""IV FASHION""",300655553,Sutuoktinis,Nuoma,KĘSTUTIS GLAVECKAS,1224000,"Juridiniai asmenys, registruoti Lietuvoje",2007-03-23,PATALPŲ NUOMA
Rašytinė,2012-04-30,"UAB ""RRW MEDICAL TRADE UAB""",110016324,Sutuoktinis,Nuoma,KĘSTUTIS GLAVECKAS,420000,"Juridiniai asmenys, registruoti Lietuvoje",2003-08-01,PATALPŲ NUOMA
Notarinė,2012-07-10,ŽIBUOKLĖ SENIKIENĖ,,Deklaruojantysis,Pirkimas,DONATAS SENIKAS,370000,"Fiziniai asmenys, registruoti Lietuvoje",2012-05-16,NEKILNOJAMO TURTO PIRKIMAS
Rašytinė,2047-05-15,SWEDBANK AB,112029651,Deklaruojantysis,Paskola (gauta),DONATAS SENIKAS,237000,"Juridiniai asmenys, registruoti Lietuvoje",2012-05-15,KREDITO GAVIMAS
Rašytinė,2017-08-11,SWEDBANK LT,112029651,Deklaruojantysis,Paskola (gauta),PETRAS AUŠTREVIČIUS,100000,"Juridiniai asmenys, registruoti Lietuvoje",2004-08-11,PASKOLA BUSTO ATNAUJINIMUI
Rašytinė,2017-08-11,SWEDBANK LT,112029651,Sutuoktinis,Paskola (gauta),PETRAS AUŠTREVIČIUS,100000,"Juridiniai asmenys, registruoti Lietuvoje",2004-08-11,PASKOLA BUSTO ATNAUJINIMUI
Notarinė,2011-11-15,DOMAS KARKLYS,,Deklaruojantysis,Pardavimas,REMIGIJUS ŠIMAŠIUS,199000,"Fiziniai asmenys, registruoti Lietuvoje",2011-11-15,BUTO PARDAVIMAS
Notarinė,2012-02-27,JURGA MEDELĖ,,Sutuoktinis,Pardavimas,REMIGIJUS ŠIMAŠIUS,595000,"Fiziniai asmenys, registruoti Lietuvoje",2012-02-27,BUTO PARDAVIMAS
Rašytinė,2013-06-23,IGNALINOS KREDITO UNIJA,110088042,Deklaruojantysis,Paskola (gauta),LETA KALINAUSKAITĖ,18800,"Juridiniai asmenys, registruoti Lietuvoje",2003-06-27,PASKOLA BUTUI PIRKTI
Rašytinė,,UAB M&KO,300651544,Deklaruojantysis,Paskola (suteikta),MARIUS JUŠKEVIČIUS,20000,"Juridiniai asmenys, registruoti Lietuvoje",2011-06-15,SUTEIKTA PASKOLA
Rašytinė,2011-11-30,UAB SWEDBANK LIZINGAS,111568069,Deklaruojantysis,Išsimokėtinas pirkimas,VIDMANTAS JAPERTAS,62500,"Juridiniai asmenys, registruoti Lietuvoje",2008-10-10,AUTOMOBILIO LIZINGAS
Rašytinė,,UAB RANCAS,302466843,Deklaruojantysis,Vertybinių popierių sandoriai,VIDMANTAS JAPERTAS,32933,"Juridiniai asmenys, registruoti Lietuvoje",2011-09-07,AKCIJŲ PARDAVIMAS
Rašytinė,,UAB ŠIAULIŲ ŽEMĖS ŪKIO TECHNIKA,144674489,Deklaruojantysis,Paskola (gauta),VIDMANTAS JAPERTAS,16000,"Juridiniai asmenys, registruoti Lietuvoje",2012-07-24,GAUTA PASKOLA
Rašytinė,2014-08-17,SWEDBANK,,Deklaruojantysis ir sutuoktinis,Paskola (gauta),EDITA RUDIENĖ,14000,"Fiziniai asmenys, registruoti Lietuvoje",2009-08-05,GAUTA PASKOLA
Rašytinė,,KĘSTUTIS PETRAITIS,,Deklaruojantysis,Paskola (suteikta),VIDMANTAS JAPERTAS,50000,"Fiziniai asmenys, registruoti Lietuvoje",2012-07-24,SUTEIKTA PASKOLA
Rašytinė,,UAB JUPOJOS TECHNIKA,145409974,Deklaruojantysis,Paskola (suteikta),VIDMANTAS JAPERTAS,60000,"Juridiniai asmenys, registruoti Lietuvoje",2012-04-06,SUTEIKTA PASKOLA
Rašytinė,,FINASTA,,Sutuoktinis,Pardavimas,PAULIUS PAULIONIS,20000,"Juridiniai asmenys, registruoti Lietuvoje",2012-05-07,PARDAVIMAS
Rašytinė,,UAB JUPOJOS STATYBINĖS MEDŽIAGOS,175880761,Deklaruojantysis,Paskola (suteikta),VIDMANTAS JAPERTAS,16320,"Juridiniai asmenys, registruoti Lietuvoje",2011-06-30,SUTEIKTA PASKOLA
Rašytinė,,UAB JUPOJOS INVESTICINĖ GRUPĖ,300545046,Deklaruojantysis,Paskola (suteikta),VIDMANTAS JAPERTAS,13750,"Juridiniai asmenys, registruoti Lietuvoje",2009-09-15,SUTEIKTA PASKOLA
Notarinė,2020-09-14,AB VILNIAUS BANKAS,112021238,Deklaruojantysis,Paskola (gauta),ROMUALDAS JABLONSKIS,64600,"Juridiniai asmenys, registruoti Lietuvoje",2003-09-15,BŪSTO PASKOLA
Rašytinė,,UAB VALVĖSTA,245595280,Deklaruojantysis,Paskola (suteikta),VIDMANTAS JAPERTAS,70000,"Juridiniai asmenys, registruoti Lietuvoje",2010-10-22,SUTEIKTA PASKOLA
Rašytinė,,UAB VALVĖSTA,245595280,Deklaruojantysis,Paskola (suteikta),VIDMANTAS JAPERTAS,60000,"Juridiniai asmenys, registruoti Lietuvoje",2011-01-13,SUTEIKTA PASKOLA
Rašytinė,,UAB JUPOJOS STATYBINĖS MEDŽIAGOS,175880761,Deklaruojantysis,Paskola (suteikta),VIDMANTAS JAPERTAS,84000,"Juridiniai asmenys, registruoti Lietuvoje",2011-01-03,SUTEIKTA PASKOLA
Rašytinė,,UAB JUPOJOS STATYBINĖS MEDŽIAGOS,175880761,Deklaruojantysis,Paskola (suteikta),VIDMANTAS JAPERTAS,86000,"Juridiniai asmenys, registruoti Lietuvoje",2011-01-10,SUTEIKTA PASKOLA
Notarinė,2011-10-28,ROLANDAS RIDZIAUSKAS,,Deklaruojantysis,Pardavimas,DONATAS MIZARAS,60000,"Fiziniai asmenys, registruoti Lietuvoje",2011-10-28,ŽEMĖS SKLYPO PARDAVIMAS
Notarinė,,DRUSKININKŲ KREDITO UNIJA,110090118,Deklaruojantysis,Paskola (gauta),DONATAS MIZARAS,88000,"Juridiniai asmenys, registruoti Lietuvoje",2011-02-24,PASKOLA BŪSTUI
Notarinė,,VYTAUTAS DOVYDAUSKIS,,Deklaruojantysis,Paskola (suteikta),ALGIRDAS GUDAITIS,90118,"Fiziniai asmenys, registruoti Lietuvoje",2011-11-30,PASKOLOS SANDORIO OBJEKTAS PINIGAI
Notarinė,2031-02-15,"„SWEDBANK“, AB",112029651,Deklaruojantysis ir sutuoktinis,Paskola (gauta),SIGITAS ČINGA,150000,"Juridiniai asmenys, registruoti Lietuvoje",2011-03-16,BŪSTO PASKOLA
Notarinė,2012-04-11,AUKSUOLĖ ENDRIUKAITIENĖ,,Deklaruojantysis ir sutuoktinis,Pardavimas,ALGIRDAS ŽANDARAS,35000,"Fiziniai asmenys, registruoti Lietuvoje",2012-04-11,ŽEMĖS SKLYPO PARDAVIMAS
Notarinė,2012-03-21,ŠIMKIENĖ DALIA,,Deklaruojantysis,Pirkimas,PRANAS NORVILAS,1500,"Fiziniai asmenys, registruoti Lietuvoje",2012-03-21,"PIRKTAS ŽEMĖS SKLYPAS 0,5 HA"
Rašytinė,2012-06-08,PRANAS GOTAUTAS,,Deklaruojantysis,Pirkimas,PRANAS NORVILAS,18000,"Fiziniai asmenys, registruoti Lietuvoje",2012-06-08,PIRKTAS AUTOMOBILIS AUDI A6  VALS NR DHU 025
Notarinė,,"AB ""ŠIAULIŲ BANKAS""",112025254,Deklaruojantysis,Paskola (gauta),SILVERIJUS STATKUS,41200,"Juridiniai asmenys, registruoti Lietuvoje",2007-08-17,PASKOLA
Notarinė,,"AB ""ŠIAULIŲ BANKAS""",112025254,Deklaruojantysis,Paskola (gauta),SILVERIJUS STATKUS,60000,"Juridiniai asmenys, registruoti Lietuvoje",2006-12-14,PASKOLA
Notarinė,,"AB ""ŠIAULIŲ BANKAS""",112025254,Sutuoktinis,Paskola (gauta),SILVERIJUS STATKUS,53000,"Juridiniai asmenys, registruoti Lietuvoje",2007-03-29,PASKOLA
Rašytinė,,AB SWEDBANKAS,112029651,Deklaruojantysis,Išsimokėtinas pirkimas,ROMAS MEDZVECKAS,36328,"Juridiniai asmenys, registruoti Lietuvoje",2012-03-22,DACIA DUSTER 2011 M.
Rašytinė,,UAB EURA,132411815,Deklaruojantysis,Paskola (gauta),ANDRIUS BŪDA,100000,"Juridiniai asmenys, registruoti Lietuvoje",2009-08-07,AKCININKO PASKOLA
Notarinė,,AKADEMINE KREDITO UNIJA,112043843,Deklaruojantysis,Kiti sandoriai,ANDRIUS BŪDA,50100,"Juridiniai asmenys, registruoti Lietuvoje",2010-08-30,LAIDAVIMAS UZ PASKOLA
Notarinė,2006-12-27,STANISLOVAS URNIKAS,,Deklaruojantysis,Pirkimas,RIMVYDAS TAMULAITIS,425000,"Fiziniai asmenys, registruoti Lietuvoje",2006-12-27,BUTO PIRKIMAS
Notarinė,2007-08-08,VIRGINIJUS MIŠEIKIS,,Deklaruojantysis,Pardavimas,RIMVYDAS TAMULAITIS,195000,"Fiziniai asmenys, registruoti Lietuvoje",2007-07-31,BUTO PARDAVINAS
Rašytinė,,"AB BANKAS ""SNORAS"" ŠIAULIŲ FILIALAS",112025973,Deklaruojantysis,Paskola (gauta),RIMVYDAS TAMULAITIS,400000,"Juridiniai asmenys, registruoti Lietuvoje",2006-12-20,PINGAI BUTUI PIRKTI
Notarinė,2001-09-19,ELENA TAMULAITIENĖ,,Deklaruojantysis,Turto patikėjimas,RIMVYDAS TAMULAITIS,18668,"Fiziniai asmenys, registruoti Lietuvoje",2000-03-01,TEISĖS Į IŠLIKUSĮ NEKILNOJAMĄ TURTĄ PERLEIDIMAS
Rašytinė,2012-05-31,SWEDBANKO DRAUDIMAS,112029651,Sutuoktinis,Draudimas,RIMVYDAS TAMULAITIS,15000,"Juridiniai asmenys, registruoti Lietuvoje",1999-06-01,GYVYBĖS DRAUDIMAS
Rašytinė,2011-05-31,SWEDBANKO DRAUDIMAS,112029651,Sutuoktinis,Draudimas,RIMVYDAS TAMULAITIS,15000,"Juridiniai asmenys, registruoti Lietuvoje",1999-06-01,GYVYBĖS DRAUDIMAS
Rašytinė,,AB SEB BANKAS,112021238,Deklaruojantysis ir sutuoktinis,Paskola (gauta),LAIMONAS PAURA,208518,"Juridiniai asmenys, registruoti Lietuvoje",2005-11-17,PINIGAI
Žodinė,,SIGUTĖ ALLIG,,Deklaruojantysis,"Gauta dovana (išskyrus artimų asmenų dovanas), jeigu jos vertė didesnė negu 500 Lt",ADOLFINA BLAUZDŽIŪNIENĖ,10790,Užsienio fiziniai ir juridiniai asmenys (neregistruoti Lietuvoje),2012-02-07,PINIGAI
Rašytinė,2012-06-15,ARVYDAS ANTANAS MAŽEIKIS,,Deklaruojantysis,Pardavimas,MARTYNAS MARCINKEVIČIUS,4000,"Fiziniai asmenys, registruoti Lietuvoje",2012-06-15,AUTOMOBILIO PARDAVIMAS
Rašytinė,2016-09-15,UAB SWEDBANKO LIZINGAS,111568069,Deklaruojantysis,Paskola (gauta),JONAS EDVARDAS JUODIS,70000,"Juridiniai asmenys, registruoti Lietuvoje",2011-09-14,AUTOMOBILIS TOYOTA LAND CRUISER
Rašytinė,2016-08-15,"AB ""SEB LIZINGAS""",123051535,Sutuoktinis,Išsimokėtinas pirkimas,SIGITAS ŠIUPŠINSKAS,59468,"Juridiniai asmenys, registruoti Lietuvoje",2011-08-17,IŠPERKAMOSIOS NUOMOS SUTARTIS AUTOMOBILIUI ĮSIGYTI
Notarinė,2014-11-19,DNB BANKAS,112029270,Deklaruojantysis,Paskola (gauta),DALIUS JANKAUSKAS,188924,"Juridiniai asmenys, registruoti Lietuvoje",2009-12-04,PASKOLA TECHNIKOS PIRKIMUI
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Indėlis,VYTAUTAS RASTENIS,24206,"Juridiniai asmenys, registruoti Lietuvoje",2011-08-29,PINIGAI
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Indėlis,VYTAUTAS RASTENIS,11412,"Juridiniai asmenys, registruoti Lietuvoje",2011-09-04,PINIGAI
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Indėlis,VYTAUTAS RASTENIS,31045,"Juridiniai asmenys, registruoti Lietuvoje",2011-09-10,PINIGAI
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Indėlis,VYTAUTAS RASTENIS,29024,"Juridiniai asmenys, registruoti Lietuvoje",2012-07-25,PINIGAI
Rašytinė,2012-07-31,SWEDBANK LIFE INSURANCE  SE LIETUVOS FILIALAS,302458056,Deklaruojantysis,Draudimas,VYTAUTAS RASTENIS,10000,"Juridiniai asmenys, registruoti Lietuvoje",2002-08-01,PINIGAI
Rašytinė,,IGNALINOS KREDITO UNIJA,110088042,Sutuoktinis,Indėlis,VYTAUTAS RASTENIS,17000,"Juridiniai asmenys, registruoti Lietuvoje",2011-09-01,PINIGAI
Rašytinė,,SWEDBANK,112029651,Sutuoktinis,Indėlis,VYTAUTAS RASTENIS,20000,"Juridiniai asmenys, registruoti Lietuvoje",2011-10-10,PINIGAI
Rašytinė,,SWEDBANK,112029651,Sutuoktinis,Indėlis,VYTAUTAS RASTENIS,24844,"Juridiniai asmenys, registruoti Lietuvoje",2012-04-09,PINIGAI
Rašytinė,2014-06-30,ŽEMAITIJOS VALSTIEČIŲ KREDITO UNIJA,112041269,Deklaruojantysis,Paskola (gauta),MARIJUS KAKTYS,150000,"Juridiniai asmenys, registruoti Lietuvoje",2012-06-30,PASKOLA APYVARTINĖMS LĖŠOMS PADENGTI
Rašytinė,2015-08-15,"""SWEDBANK"",AB",112029651,Deklaruojantysis,Paskola (gauta),MARIJUS KAKTYS,302000,"Juridiniai asmenys, registruoti Lietuvoje",2010-07-08,PASKOLA ŽEMĖS ŪKIO TECHNIKAI PIRKTI
Rašytinė,,VEREIMIGTE - HAGELVERSIC HERUNG VVAG VH LIETUVA,301723587,Sutuoktinis,Kiti sandoriai,VALDAS JUŠKEVIČIUS,13249,"Juridiniai asmenys, registruoti Lietuvoje",2012-07-26,INDIVIDUALIOS VEIKLOS PAJAMOS
Rašytinė,,UAB  MAŽEIKIŲ VARDUVA,166630641,Deklaruojantysis ir sutuoktinis,Kiti sandoriai,KĘSTUTIS BARTKEVIČIUS,18206,"Juridiniai asmenys, registruoti Lietuvoje",2011-04-04,PASKOLOS PALŪKANOS
Notarinė,2011-12-01,RASA BALANDIENĖ,,Deklaruojantysis,Pardavimas,VYGAUDAS MOLIS,150000,"Fiziniai asmenys, registruoti Lietuvoje",2011-12-01,SKLYPO PARDAVIMAS
Notarinė,2012-02-20,SIMONA STARKUTĖ,,Deklaruojantysis,Kiti sandoriai,VYGAUDAS MOLIS,250000,"Fiziniai asmenys, registruoti Lietuvoje",2012-02-07,ŽEMĖS MAINAI
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Vertybinių popierių sandoriai,ALDONA STAPONKIENĖ,176500,"Juridiniai asmenys, registruoti Lietuvoje",2012-06-21,LR VYRIAUSYBĖS TAUPYMO LAKŠTAI
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Indėlis,ALDONA STAPONKIENĖ,105621,"Juridiniai asmenys, registruoti Lietuvoje",2012-07-26,INDĖLIS
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Indėlis,ALDONA STAPONKIENĖ,39000,"Juridiniai asmenys, registruoti Lietuvoje",2012-03-07,INDĖLIS
Rašytinė,,AB DNB BANKAS,112029270,Deklaruojantysis,Indėlis,ALDONA STAPONKIENĖ,500000,"Juridiniai asmenys, registruoti Lietuvoje",2012-03-07,INDĖLIS
Notarinė,,AB NORD BANKAS,112029270,Deklaruojantysis,Paskola (gauta),GINTAUTAS LABANAUSKAS,110379,"Juridiniai asmenys, registruoti Lietuvoje",2008-09-15,PASKOLA BŪSTUI
Rašytinė,,UAB 'LUXERA',300871572,Deklaruojantysis,Paskola (suteikta),GINTAUTAS LABANAUSKAS,218830,"Juridiniai asmenys, registruoti Lietuvoje",2007-07-12,AKCININKO PASKOLA
Rašytinė,,UAB LEGAL LINE,302478112,Deklaruojantysis,Pirkimas,VYTAUTAS GALVONAS,10100,"Juridiniai asmenys, registruoti Lietuvoje",2011-08-01,SANDORIO OBJEKTAS AKCIJŲ PIRKIMAS
Rašytinė,2012-03-06,UAB BAUBILAS,136034087,Deklaruojantysis,Pardavimas,VYTAUTAS GALVONAS,60000,"Juridiniai asmenys, registruoti Lietuvoje",2011-12-02,SANDORIO OBJEKTAS STATYBINIŲ MEDŽIAGŲ METALO PARDAVIMAS
Rašytinė,,ROBERTAS JAVTOKAS,,Deklaruojantysis,Paskola (gauta),VYTAUTAS GALVONAS,1000000,"Fiziniai asmenys, registruoti Lietuvoje",2007-03-30,SANDORIO OBJEKTAS PINIGAI GAUTA PASKOLA
Rašytinė,,DNB NORD BANKAS,112029270,Deklaruojantysis,Indėlis,AUŠRA RUČIENĖ,33912,"Juridiniai asmenys, registruoti Lietuvoje",2011-11-24,INDĖLIS
Rašytinė,,AB CITADELĖ BANKAS,112021619,Deklaruojantysis,Paskola (gauta),VYTAUTAS GALVONAS,918812,"Juridiniai asmenys, registruoti Lietuvoje",2007-09-21,SANDORIO OBJEKTAS PINIGAI GAUTA PASKOLA
Rašytinė,,UAB OGMIOS ASTRA LAIKRODŽIAI,125368947,Deklaruojantysis,Paskola (suteikta),VYTAUTAS GALVONAS,869016,"Juridiniai asmenys, registruoti Lietuvoje",2008-06-19,SANDORIO OBJEKTAS PINIGAI SUTEIKTA PASKOLA
Rašytinė,,DNB NORD BANKAS,112029270,Deklaruojantysis,Indėlis,AUŠRA RUČIENĖ,33566,"Juridiniai asmenys, registruoti Lietuvoje",2012-06-20,INDĖLIS
Rašytinė,,DNB NORD BANKAS,112029270,Deklaruojantysis,Indėlis,AUŠRA RUČIENĖ,400000,"Juridiniai asmenys, registruoti Lietuvoje",2012-08-02,INDĖLIS
Rašytinė,,WESTEXPRESS,110461363,Deklaruojantysis,Kiti sandoriai,AUŠRA RUČIENĖ,36414,"Juridiniai asmenys, registruoti Lietuvoje",2011-12-15,KELIONĖ Į MAURICIJŲ
Rašytinė,,UAB ELTIMO,301538574,Deklaruojantysis,Pirkimas,VAIDAS PAVILONIS,24500,"Juridiniai asmenys, registruoti Lietuvoje",2012-06-12,AUTOMOBILIO PIRKIMAS
Rašytinė,,ŠILUTĖS KREDITO UNIJA,112041116,Deklaruojantysis,Paskola (gauta),VAIDAS PAVILONIS,23000,"Juridiniai asmenys, registruoti Lietuvoje",2012-05-29,PASKOLA
Rašytinė,2012-10-15,"UAB ""VILNIAUS PASAŽAS""",300542580,Deklaruojantysis,Nuoma,DAILIS ALFONSAS BARAKAUSKAS,33421,"Juridiniai asmenys, registruoti Lietuvoje",2011-02-15,AUTOMOBILIO NUOMA
Rašytinė,2046-09-15,BANKAS SNORAS,112025973,Sutuoktinis,Paskola (gauta),ROMUALDAS GINEVIČIUS,1000000,"Juridiniai asmenys, registruoti Lietuvoje",2006-09-15,BUTO PIRKIMUI
Notarinė,2012-04-03,ROMAS RUDŽINSKAS,,Deklaruojantysis,Pirkimas,VYTAUTAS KAMBLEVIČIUS,175000,"Fiziniai asmenys, registruoti Lietuvoje",2012-04-03,BUTO PIRKIMAS
Rašytinė,,"UAGDPB ""AVIVA LIETUVA""",111744827,Deklaruojantysis,Draudimas,IVETA SKURVYDIENĖ,30000,"Juridiniai asmenys, registruoti Lietuvoje",2012-01-18,GYVYBĖS DRAUDIMAS
Notarinė,,PRANCIŠKUS SKURVIDAS,,Sutuoktinis,"Gauta dovana (išskyrus artimų asmenų dovanas), jeigu jos vertė didesnė negu 500 Lt",IVETA SKURVYDIENĖ,52000,"Fiziniai asmenys, registruoti Lietuvoje",2009-09-17,PAVELDĖTO BUTO DALIES DOVANOJIMAS SŪNUI
Rašytinė,,COMPENSA LIFE VIENNA INSURANCE GROUP SE LIETUVOS FILIALAS,301135655,Sutuoktinis,Draudimas,IVETA SKURVYDIENĖ,55000,"Juridiniai asmenys, registruoti Lietuvoje",2010-12-21,"GYVYBĖS  DRAUDIMAS, KRITINIŲ LIGŲ IR TRAUMŲ DRAUDIMAS"
Rašytinė,,VYTAUTAS POCIŪNAS,,Deklaruojantysis,Paskola (suteikta),REGIMANTAS BARAVYKAS,41000,"Fiziniai asmenys, registruoti Lietuvoje",1997-05-10,PASKOLOS SUTARTIS
Rašytinė,,DANUTĖ SABALIAUSKIENĖ,,Deklaruojantysis,Paskola (suteikta),REGIMANTAS BARAVYKAS,15000,"Fiziniai asmenys, registruoti Lietuvoje",1997-08-01,PASKOLOS SUTARTIS
Rašytinė,,DAINIUS VYTAS,,Deklaruojantysis,Vertybinių popierių sandoriai,ARTŪRAS TEPELYS,265000,"Fiziniai asmenys, registruoti Lietuvoje",2008-02-04,PASKOLA
